# Randomness analysis
version = 3.6.2
source = "/opt/hostedtoolcache/Python/3.12.11/x64/lib/python3.12/site-packages/craterstats/sample/CE-6 8-km vicinity.scc"
#
n_sigma = {bin, m2cnd, sdaa
-5          	   -1.306	    4.254
-4.5        	   -3.816	    5.958
-4          	   0.2725	    1.765
-3.5        	   0.4479	   0.5301
-3          	    2.277	  -0.8315
-2.5        	   0.3496	  -0.3494
-2          	    -1.31	   0.5338
-1.5        	  0.07882	   0.5236
}
#
m2cnd = {
n_trials = 3000
trials  = {index, -5, -4.5, -4, -3.5, -3, -2.5, -2, -1.5
0           	1.174323    	0.4274528   	0.3425509   	0.4082191   	0.5855013   	1.008838    	1.553874    	2.902765    
1           	1.207348    	0.3887511   	0.3513829   	0.438303    	0.5996657   	0.9599987   	1.315814    	2.263831    
2           	0.9888004   	0.430755    	0.3587664   	0.4063119   	0.5462372   	1.022321    	1.893017    	2.998085    
3           	1.068439    	0.430292    	0.3301813   	0.4123954   	0.6323345   	1.03702     	1.452616    	3.213427    
4           	1.135372    	0.4225841   	0.3370625   	0.434002    	0.5908212   	1.085144    	1.597725    	2.787763    
5           	1.003792    	0.4035829   	0.3546677   	0.4332814   	0.617578    	1.119362    	1.328499    	2.85927     
6           	1.247947    	0.4178716   	0.351289    	0.4148551   	0.6311378   	0.9835945   	1.634006    	2.605253    
7           	1.263835    	0.4319052   	0.3536348   	0.4196371   	0.5636223   	0.9532279   	1.715569    	2.646103    
8           	1.156443    	0.4107129   	0.3382589   	0.4292646   	0.5771086   	1.158636    	1.337147    	3.810946    
9           	1.117879    	0.4162868   	0.3534742   	0.4123589   	0.6077623   	1.120861    	1.590411    	3.79752     
10          	1.096461    	0.4456343   	0.3306422   	0.4465618   	0.5823644   	1.076039    	1.499871    	3.388278    
11          	1.198729    	0.4067704   	0.3423956   	0.4273279   	0.6257474   	1.013771    	1.846373    	2.503127    
12          	1.233701    	0.4310248   	0.3458203   	0.4262233   	0.5673146   	1.204505    	1.447817    	3.007943    
13          	1.048604    	0.4278268   	0.349511    	0.4288274   	0.573675    	1.076276    	1.707047    	3.653307    
14          	1.184826    	0.4109719   	0.3608591   	0.408926    	0.6343171   	1.120521    	1.530197    	3.330764    
15          	1.206274    	0.4207092   	0.3444166   	0.4149873   	0.5898143   	1.057566    	1.546814    	2.149991    
16          	1.152068    	0.4170977   	0.3494556   	0.4120287   	0.5778285   	1.050732    	1.709291    	3.004854    
17          	1.153338    	0.4251312   	0.3428346   	0.4330329   	0.5825577   	1.069874    	1.827812    	3.259955    
18          	1.133708    	0.4094597   	0.3501079   	0.4209795   	0.5606322   	1.137045    	1.34957     	3.11572     
19          	1.053315    	0.421062    	0.343038    	0.4514002   	0.6413428   	0.9729282   	1.410011    	3.923126    
20          	1.157971    	0.421145    	0.3501732   	0.4312084   	0.5701505   	1.051851    	1.908073    	3.25351     
21          	1.288514    	0.4192255   	0.3513915   	0.3967245   	0.602127    	1.179159    	1.818786    	2.978564    
22          	1.123107    	0.4306769   	0.3449235   	0.4331119   	0.5985282   	1.08762     	1.347069    	3.447823    
23          	0.9621503   	0.4203289   	0.343493    	0.4364067   	0.589106    	0.8832368   	1.302282    	3.913644    
24          	1.299925    	0.4274071   	0.3513874   	0.4103881   	0.6253937   	0.9268365   	1.577796    	3.468242    
25          	1.223292    	0.420498    	0.3596765   	0.4004962   	0.5934526   	1.085335    	1.467449    	2.608085    
26          	1.20126     	0.4396688   	0.3400069   	0.4365114   	0.601343    	0.9896445   	1.538931    	2.204061    
27          	1.228964    	0.4049612   	0.3574051   	0.4101635   	0.6295751   	1.07634     	1.535513    	2.467143    
28          	1.383537    	0.4408585   	0.3372529   	0.4228163   	0.6106948   	1.108609    	1.395074    	2.635824    
29          	1.10383     	0.3983986   	0.3391414   	0.4182552   	0.5956774   	1.076477    	1.361872    	2.940496    
30          	1.075465    	0.4238993   	0.3396082   	0.4252289   	0.616996    	1.147907    	1.759969    	2.851645    
31          	1.13838     	0.3975676   	0.3498877   	0.4343297   	0.5796891   	1.118444    	1.756405    	3.022291    
32          	1.225908    	0.3878032   	0.3537921   	0.4281994   	0.5909011   	1.199118    	1.036751    	4.529579    
33          	1.184393    	0.3994934   	0.3504631   	0.415258    	0.6164481   	0.9836499   	1.543138    	1.575866    
34          	1.091255    	0.4145309   	0.3506691   	0.4276508   	0.6262287   	0.9859015   	1.648836    	3.01508     
35          	1.172599    	0.4150701   	0.3533562   	0.4108633   	0.563824    	1.054842    	1.870463    	2.83508     
36          	1.093974    	0.4043403   	0.3451221   	0.4361823   	0.6162534   	0.9165074   	1.51157     	3.401206    
37          	1.172343    	0.4012411   	0.3487969   	0.4321808   	0.6017215   	0.9744897   	1.54131     	3.829383    
38          	1.154837    	0.4252075   	0.3562033   	0.4291145   	0.579143    	1.164948    	1.592606    	4.161       
39          	1.001236    	0.4030149   	0.3606374   	0.4400629   	0.59729     	1.131783    	1.731014    	2.397143    
40          	1.013079    	0.4431575   	0.3477939   	0.4085004   	0.6214692   	1.234924    	1.501888    	3.180543    
41          	1.323319    	0.4210882   	0.360942    	0.4129375   	0.5971917   	1.213342    	1.67072     	4.12708     
42          	1.079618    	0.4344943   	0.3590515   	0.4456829   	0.5775256   	1.072232    	1.690564    	3.787685    
43          	1.183034    	0.4175944   	0.3478059   	0.4249094   	0.6106563   	1.001526    	1.615956    	4.048038    
44          	1.130515    	0.4506566   	0.3580631   	0.4249228   	0.6157628   	1.070578    	1.461726    	2.410232    
