,,,,,,,,,,,,,,,,,,,,Formatted values [paste MathML into Word using CTRL-SHIFT-V]
,,,,,,,,,,,,,,,,,,,,,MathML,,Latex,
Name,Area,Binning,d_min,d_max,Method,Resurf,N,N_event,Age,Age-,Age+,a0,a0-,a0+,N(1),N(1)-,N(1)+,Source, ,Range,Age,N(1),Age,N(1)
Pickering,3036.6,root-2,0.18,0.71,poisson,0,424,424,0.547,0.521,0.574,-3.574,-3.595,-3.553,2.67e-04,2.54e-04,2.80e-04,/opt/hostedtoolcache/Python/3.12.11/x64/lib/python3.12/site-packages/craterstats/sample/Pickering.scc, ,180–710 m,<math xmlns="http://www.w3.org/1998/Math/MathML"><mi>&#956;</mi><msubsup><mtext>547</mtext><mtext>&#x2212;26</mtext><mtext>+27</mtext></msubsup><mtext>&#8239;Ma</mtext></math>,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>2.67</mtext><mtext>&#x2212;0.13</mtext><mtext>+0.13</mtext></msubsup><mo>&#183;</mo><msup><mtext>10</mtext><mtext>-4</mtext></msup><msup><mtext>&#8239;km</mtext><mtext>-2</mtext></msup></math>,$\mu547^{+27}_{-26}$ Ma,$2.67^{+0.13}_{-0.13}\cdot10^{-4}$ km$^{-2}$," "
Pickering,3036.6,root-2,2,5,poisson,0,2,2,3.24,2.12,3.68,-2.754,-2.985,-2.242,1.76e-03,1.03e-03,5.73e-03,/opt/hostedtoolcache/Python/3.12.11/x64/lib/python3.12/site-packages/craterstats/sample/Pickering.scc, ,2.0–5.0 km,<math xmlns="http://www.w3.org/1998/Math/MathML"><mi>&#956;</mi><msubsup><mtext>3.24</mtext><mtext>&#x2212;1.1</mtext><mtext>+0.44</mtext></msubsup><mtext>&#8239;Ga</mtext></math>,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>1.76</mtext><mtext>&#x2212;0.73</mtext><mtext>+4.0</mtext></msubsup><mo>&#183;</mo><msup><mtext>10</mtext><mtext>-3</mtext></msup><msup><mtext>&#8239;km</mtext><mtext>-2</mtext></msup></math>,$\mu3.24^{+0.44}_{-1.1}$ Ga,$1.76^{+4.0}_{-0.73}\cdot10^{-3}$ km$^{-2}$," "
