,,,,,,,,,,,,,,,,,,,,Formatted values [paste MathML into Word using CTRL-SHIFT-V]
,,,,,,,,,,,,,,,,,,,,,MathML,,Latex,
Name,Area,Binning,d_min,d_max,Method,Resurf,N,N_event,Age,Age-,Age+,a0,a0-,a0+,N(1),N(1)-,N(1)+,Source, ,Range,Age,N(1),Age,N(1)
Pickering,3036.6,none,0.22,0.43,poisson,0,223,223,0.68515,0.64078,0.73261,-3.476,-3.505,-3.447,3.34e-04,3.12e-04,3.57e-04,/opt/hostedtoolcache/Python/3.12.13/x64/lib/python3.12/site-packages/craterstats/sample/Pickering.scc, ,220–430 m,<math xmlns="http://www.w3.org/1998/Math/MathML"><mi>&#956;</mi><msubsup><mtext>685</mtext><mtext>&#x2212;44</mtext><mtext>+47</mtext></msubsup><mtext>&#8239;Ma</mtext></math>,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>3.34</mtext><mtext>&#x2212;0.22</mtext><mtext>+0.23</mtext></msubsup><mo>&#183;</mo><msup><mtext>10</mtext><mtext>-4</mtext></msup><msup><mtext>&#8239;km</mtext><mtext>-2</mtext></msup></math>,$𝜇685^{+47}_{-44}$ Ma,$3.34^{+0.23}_{-0.22}\cdot10^{-4}$ km$^{-2}$," "
Pickering,3036.6,none,2,5,poisson,0,2,2,3.7375,3.5929,3.8347,-2.123,-2.415,-1.884,7.53e-03,3.85e-03,1.31e-02,/opt/hostedtoolcache/Python/3.12.13/x64/lib/python3.12/site-packages/craterstats/sample/Pickering.scc, ,2.0–5.0 km,<math xmlns="http://www.w3.org/1998/Math/MathML"><mi>&#956;</mi><msubsup><mtext>3.74</mtext><mtext>&#x2212;0.14</mtext><mtext>+0.097</mtext></msubsup><mtext>&#8239;Ga</mtext></math>,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>7.53</mtext><mtext>&#x2212;3.7</mtext><mtext>+5.5</mtext></msubsup><mo>&#183;</mo><msup><mtext>10</mtext><mtext>-3</mtext></msup><msup><mtext>&#8239;km</mtext><mtext>-2</mtext></msup></math>,$𝜇3.74^{+0.097}_{-0.14}$ Ga,$7.53^{+5.5}_{-3.7}\cdot10^{-3}$ km$^{-2}$," "
