,,,,,,,,,,,,,,,,,,,,Formatted values [paste MathML into Word using CTRL-SHIFT-V]
,,,,,,,,,,,,,,,,,,,,,MathML,,Latex,
Name,Area,Binning,d_min,d_max,Method,Resurf,N,N_event,Sort_order,Age,Age-,Age+,a0,a0-,a0+,N(1),N(1)-,N(1)+,Source, ,Range,Age,N(1),Age,N(1)
CE-6 8-km vicinity,52.487,pseudo-log,0.12,0.2,poisson,0,124,124,1,1.84,1.68,2.01,-2.811,-2.851,-2.773,1.54e-03,1.41e-03,1.69e-03,/opt/hostedtoolcache/Python/3.12.13/x64/lib/python3.12/site-packages/craterstats/sample/CE-6 8-km vicinity.scc, ,120–200 m,<math xmlns="http://www.w3.org/1998/Math/MathML"><mi>&#956;</mi><msubsup><mtext>1.84</mtext><mtext>&#x2212;0.16</mtext><mtext>+0.17</mtext></msubsup><mtext>&#8239;Ga</mtext></math>,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>1.54</mtext><mtext>&#x2212;0.13</mtext><mtext>+0.14</mtext></msubsup><mo>&#183;</mo><msup><mtext>10</mtext><mtext>-3</mtext></msup><msup><mtext>&#8239;km</mtext><mtext>-2</mtext></msup></math>,$𝜇1.84^{+0.17}_{-0.16}$ Ga,$1.54^{+0.14}_{-0.13}\cdot10^{-3}$ km$^{-2}$," "
CE-6 8-km vicinity,52.487,pseudo-log,0.2,0.8,poisson,0,38,38,0,2.59,2.2,2.97,-2.663,-2.735,-2.595,2.17e-03,1.84e-03,2.54e-03,/opt/hostedtoolcache/Python/3.12.13/x64/lib/python3.12/site-packages/craterstats/sample/CE-6 8-km vicinity.scc, ,200–800 m,<math xmlns="http://www.w3.org/1998/Math/MathML"><mi>&#956;</mi><msubsup><mtext>2.59</mtext><mtext>&#x2212;0.39</mtext><mtext>+0.39</mtext></msubsup><mtext>&#8239;Ga</mtext></math>,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>2.17</mtext><mtext>&#x2212;0.33</mtext><mtext>+0.37</mtext></msubsup><mo>&#183;</mo><msup><mtext>10</mtext><mtext>-3</mtext></msup><msup><mtext>&#8239;km</mtext><mtext>-2</mtext></msup></math>,$𝜇2.59^{+0.39}_{-0.39}$ Ga,$2.17^{+0.37}_{-0.33}\cdot10^{-3}$ km$^{-2}$," "
