,,,,,,,,,,,,,,,,,,,,Formatted values [paste MathML into Word using CTRL-SHIFT-V]
,,,,,,,,,,,,,,,,,,,,,MathML,,Latex,
Name,Area,Binning,d_min,d_max,Method,Resurf,N,N_event,Age,Age-,Age+,a0,a0-,a0+,N(1),N(1)-,N(1)+,Source, ,Range,Age,N(1),Age,N(1)
Pickering,3036.6,pseudo-log,0.2,0.7,poisson,0,313,313,0.63,0.596,0.667,-3.512,-3.537,-3.488,3.07e-04,2.90e-04,3.25e-04,/opt/hostedtoolcache/Python/3.12.11/x64/lib/python3.12/site-packages/craterstats/sample/Pickering.scc, ,200–700 m,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>630</mtext><mtext>&#x2212;35</mtext><mtext>+37</mtext></msubsup><mtext>&#8239;Ma</mtext></math>,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>3.07</mtext><mtext>&#x2212;0.17</mtext><mtext>+0.18</mtext></msubsup><mo>&#183;</mo><msup><mtext>10</mtext><mtext>-4</mtext></msup><msup><mtext>&#8239;km</mtext><mtext>-2</mtext></msup></math>,$630^{+37}_{-35}$ Ma,$3.07^{+0.18}_{-0.17}\cdot10^{-4}$ km$^{-2}$," "
Pickering,3036.6,pseudo-log,2,5,poisson,0,2,2,3.24,2.12,3.68,-2.754,-2.985,-2.242,1.76e-03,1.03e-03,5.73e-03,/opt/hostedtoolcache/Python/3.12.11/x64/lib/python3.12/site-packages/craterstats/sample/Pickering.scc, ,2.0–5.0 km,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>3.24</mtext><mtext>&#x2212;1.1</mtext><mtext>+0.44</mtext></msubsup><mtext>&#8239;Ga</mtext></math>,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>1.76</mtext><mtext>&#x2212;0.73</mtext><mtext>+4.0</mtext></msubsup><mo>&#183;</mo><msup><mtext>10</mtext><mtext>-3</mtext></msup><msup><mtext>&#8239;km</mtext><mtext>-2</mtext></msup></math>,$3.24^{+0.44}_{-1.1}$ Ga,$1.76^{+4.0}_{-0.73}\cdot10^{-3}$ km$^{-2}$," "
