,,,,,,,,,,,,,,,,,,,,Formatted values [paste MathML into Word using CTRL-SHIFT-V]
,,,,,,,,,,,,,,,,,,,,,MathML,,Latex,
Name,Area,Binning,d_min,d_max,Method,Resurf,N,N_event,Age,Age-,Age+,a0,a0-,a0+,N(1),N(1)-,N(1)+,Source, ,Range,Age,N(1),Age,N(1)
Pickering,3036.6,pseudo-log,0.2,0.7,d-fit,0,313.0,313,0.668,0.613,0.722,-3.488,-3.524,-3.454,3.25e-04,2.99e-04,3.52e-04,/opt/hostedtoolcache/Python/3.12.11/x64/lib/python3.12/site-packages/craterstats/sample/Pickering.scc, ,200–700 m,<math xmlns="http://www.w3.org/1998/Math/MathML"><mi>&#956;</mi><msubsup><mtext>668</mtext><mtext>&#x2212;54</mtext><mtext>+54</mtext></msubsup><mtext>&#8239;Ma</mtext></math>,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>3.25</mtext><mtext>&#x2212;0.26</mtext><mtext>+0.26</mtext></msubsup><mo>&#183;</mo><msup><mtext>10</mtext><mtext>-4</mtext></msup><msup><mtext>&#8239;km</mtext><mtext>-2</mtext></msup></math>,$𝜇668^{+54}_{-54}$ Ma,$3.25^{+0.26}_{-0.26}\cdot10^{-4}$ km$^{-2}$," "
Pickering,3036.6,pseudo-log,2,5,d-fit,0,2.0,2,3.76,0.226,3.88,-2.063,-3.957,-1.764,8.66e-03,1.10e-04,1.72e-02,/opt/hostedtoolcache/Python/3.12.11/x64/lib/python3.12/site-packages/craterstats/sample/Pickering.scc, ,2.0–5.0 km,<math xmlns="http://www.w3.org/1998/Math/MathML"><mi>&#956;</mi><msubsup><mtext>3.76</mtext><mtext>&#x2212;3.5</mtext><mtext>+0.12</mtext></msubsup><mtext>&#8239;Ga</mtext></math>,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>8.66</mtext><mtext>&#x2212;8.5</mtext><mtext>+8.5</mtext></msubsup><mo>&#183;</mo><msup><mtext>10</mtext><mtext>-3</mtext></msup><msup><mtext>&#8239;km</mtext><mtext>-2</mtext></msup></math>,$𝜇3.76^{+0.12}_{-3.5}$ Ga,$8.66^{+8.5}_{-8.5}\cdot10^{-3}$ km$^{-2}$," "
