,,,,,,,,,,,,,,,,,,,,Formatted values [paste MathML into Word using CTRL-SHIFT-V]
,,,,,,,,,,,,,,,,,,,,,MathML,,Latex,
Name,Area,Binning,d_min,d_max,Method,Resurf,N,N_event,Age,Age-,Age+,a0,a0-,a0+,N(1),N(1)-,N(1)+,Source, ,Range,Age,N(1),Age,N(1)
Pickering,3036.6,10/decade,0.2,0.79,d-fit,0,321.0,321,0.669,0.615,0.722,-3.487,-3.523,-3.453,3.26e-04,3.00e-04,3.52e-04,/opt/hostedtoolcache/Python/3.12.11/x64/lib/python3.12/site-packages/craterstats/sample/Pickering.scc, ,200–790 m,<math xmlns="http://www.w3.org/1998/Math/MathML"><mi>&#956;</mi><msubsup><mtext>669</mtext><mtext>&#x2212;54</mtext><mtext>+54</mtext></msubsup><mtext>&#8239;Ma</mtext></math>,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>3.26</mtext><mtext>&#x2212;0.26</mtext><mtext>+0.26</mtext></msubsup><mo>&#183;</mo><msup><mtext>10</mtext><mtext>-4</mtext></msup><msup><mtext>&#8239;km</mtext><mtext>-2</mtext></msup></math>,$𝜇669^{+54}_{-54}$ Ma,$3.26^{+0.26}_{-0.26}\cdot10^{-4}$ km$^{-2}$," "
Pickering,3036.6,10/decade,2,5,d-fit,0,2.0,2,3.74,0.192,3.86,-2.12,-4.03,-1.821,7.59e-03,9.34e-05,1.51e-02,/opt/hostedtoolcache/Python/3.12.11/x64/lib/python3.12/site-packages/craterstats/sample/Pickering.scc, ,2.0–5.0 km,<math xmlns="http://www.w3.org/1998/Math/MathML"><mi>&#956;</mi><msubsup><mtext>3.74</mtext><mtext>&#x2212;3.5</mtext><mtext>+0.12</mtext></msubsup><mtext>&#8239;Ga</mtext></math>,<math xmlns="http://www.w3.org/1998/Math/MathML"><msubsup><mtext>7.59</mtext><mtext>&#x2212;7.5</mtext><mtext>+7.5</mtext></msubsup><mo>&#183;</mo><msup><mtext>10</mtext><mtext>-3</mtext></msup><msup><mtext>&#8239;km</mtext><mtext>-2</mtext></msup></math>,$𝜇3.74^{+0.12}_{-3.5}$ Ga,$7.59^{+7.5}_{-7.5}\cdot10^{-3}$ km$^{-2}$," "
